04/10/20,Kerala,3884,3649,53,,58392707,48906591,911464,,,,
04/10/20,Kerala,719256,658875,5981,,59111963,49565466,917445,,,,
04/10/20,Kerala,10548,7577,18,,59122511,49573043,917463,,,,
04/10/20,Kerala,186200,152124,749,,59308711,49725167,918212,,,,
04/10/20,Kerala,187951,175109,915,,59496662,49900276,919127,,,,
04/10/20,Kerala,12445,10598,174,,59509107,49910874,919301,,,,
04/10/20,Kerala,123324,93731,1045,,59632431,50004605,920346,,,,
04/10/20,Kerala,290613,260350,5510,,59923044,50264955,925856,,,,
04/10/20,Kerala,3087,2954,2,,59926131,50267909,925858,,,,
04/10/20,Kerala,35328,30033,456,,59961459,50297942,926314,,,,
04/10/20,Kerala,142700,122465,3499,,60104159,50420407,929813,,,,
04/10/20,Kerala,15851,12341,212,,60120010,50432748,930025,,,,
04/10/20,Kerala,133878,120341,1470,,60253888,50553089,931495,,,,
04/10/20,Kerala,87210,75511,743,,60341098,50628600,932238,,,,
04/10/20,Kerala,79106,62404,1242,,60420204,50691004,933480,,,,
04/10/20,Kerala,640661,515782,9286,,61060865,51206786,942766,,,,
04/10/20,Kerala,229887,144471,837,,61290752,51351257,943603,,,,
04/10/20,Kerala,4521,3354,61,,61295273,51354611,943664,,,,
04/10/20,Kerala,1443409,1149603,38084,,62738682,52504214,981748,,,,
04/10/20,Kerala,6656,4393,54,,62745338,52508607,981802,,,,
04/10/20,Kerala,11857,9205,74,,62757195,52517812,981876,,,,
04/10/20,Kerala,135638,113832,2434,,62892833,52631644,984310,,,,
04/10/20,Kerala,2120,1791,0,,62894953,52633435,984310,,,,
04/10/20,Kerala,6552,5263,12,,62901505,52638698,984322,,,,
04/10/20,Kerala,232713,202302,960,,63134218,52841000,985282,,,,
04/10/20,Kerala,118157,100977,3603,,63252375,52941977,988885,,,,
04/10/20,Kerala,29089,23763,539,,63281464,52965740,989424,,,,
04/10/20,Kerala,144030,121331,1545,,63425494,53087071,990969,,,,
04/10/20,Kerala,3093,2399,45,,63428587,53089470,991014,,,,
04/10/20,Kerala,199276,170212,1163,,63627863,53259682,992177,,,,
04/10/20,Kerala,619996,564092,9784,,64247859,53823774,1001961,,,,
04/10/20,Kerala,26871,21387,290,,64274730,53845161,1002251,,,,
04/10/20,Kerala,6622185,5583456,102715,,70896915,59428617,1104966,,,,
04/10/20,Kerala,414466,362052,6029,,71311381,59790669,1110995,,,,
04/10/20,Kerala,51481,41487,652,,71362862,59832156,1111647,,,,
05/10/20,Kerala,270331,237698,5194,,71633193,60069854,1116841,,,,
05/10/20,Kerala,3899,3659,54,,71637092,60073513,1116895,,,,
05/10/20,Kerala,723512,666433,6019,,72360604,60739946,1122914,,,,
05/10/20,Kerala,10783,7775,19,,72371387,60747721,1122933,,,,
05/10/20,Kerala,187718,153488,760,,72559105,60901209,1123693,,,,
05/10/20,Kerala,188858,176674,924,,72747963,61077883,1124617,,,,
05/10/20,Kerala,12578,10797,177,,72760541,61088680,1124794,,,,
05/10/20,Kerala,126005,97067,1081,,72886546,61185747,1125875,,,,
05/10/20,Kerala,292560,263938,5542,,73179106,61449685,1131417,,,,
05/10/20,Kerala,3092,2964,2,,73182198,61452649,1131419,,,,
05/10/20,Kerala,35719,30456,460,,73217917,61483105,1131879,,,,
05/10/20,Kerala,144027,123870,3512,,73361944,61606975,1135391,,,,
05/10/20,Kerala,16033,12633,219,,73377977,61619608,1135610,,,,
05/10/20,Kerala,134909,121596,1491,,73512886,61741204,1137101,,,,
05/10/20,Kerala,88026,76843,747,,73600912,61818047,1137848,,,,
05/10/20,Kerala,79738,63790,1252,,73680650,61881837,1139100,,,,
05/10/20,Kerala,647712,522846,9370,,74328362,62404683,1148470,,,,
05/10/20,Kerala,234929,149111,860,,74563291,62553794,1149330,,,,
05/10/20,Kerala,4641,3414,61,,74567932,62557208,1149391,,,,
05/10/20,Kerala,1453653,1162585,38347,,76021585,63719793,1187738,,,,
05/10/20,Kerala,6767,4491,59,,76028352,63724284,1187797,,,,
05/10/20,Kerala,12107,9334,75,,76040459,63733618,1187872,,,,
05/10/20,Kerala,137098,115878,2463,,76177557,63849496,1190335,,,,
05/10/20,Kerala,2120,1837,0,,76179677,63851333,1190335,,,,
05/10/20,Kerala,6594,5377,12,,76186271,63856710,1190347,,,,
05/10/20,Kerala,235330,206400,977,,76421601,64063110,1191324,,,,
05/10/20,Kerala,119186,102648,3641,,76540787,64165758,1194965,,,,
05/10/20,Kerala,29277,24221,543,,76570064,64189979,1195508,,,,
05/10/20,Kerala,146195,123421,1559,,76716259,64313400,1197067,,,,
05/10/20,Kerala,3110,2466,46,,76719369,64315866,1197113,,,,
05/10/20,Kerala,200611,172388,1171,,76919980,64488254,1198284,,,,
05/10/20,Kerala,625391,569664,9846,,77545371,65057918,1208130,,,,
05/10/20,Kerala,27030,21853,296,,77572401,65079771,1208426,,,,
05/10/20,Kerala,6682315,5659313,103601,,84254716,70739084,1312027,,,,
05/10/20,Kerala,417437,366321,6092,,84672153,71105405,1318119,,,,
05/10/20,Kerala,51991,42368,669,,84724144,71147773,1318788,,,,
06/10/20,Kerala,273679,240707,5255,,84997823,71388480,1324043,,,,
06/10/20,Kerala,3912,3678,54,,85001735,71392158,1324097,,,,
06/10/20,Kerala,729307,672479,6052,,85731042,72064637,1330149,,,,
06/10/20,Kerala,11007,7965,20,,85742049,72072602,1330169,,,,
06/10/20,Kerala,188902,155074,778,,85930951,72227676,1330947,,,,
06/10/20,Kerala,190123,177929,925,,86121074,72405605,1331872,,,,
06/10/20,Kerala,12707,11035,180,,86133781,72416640,1332052,,,,
06/10/20,Kerala,128893,100551,1104,,86262674,72517191,1333156,,,,
06/10/20,Kerala,295236,266935,5581,,86557910,72784126,1338737,,,,
06/10/20,Kerala,3103,2973,2,,86561013,72787099,1338739,,,,
06/10/20,Kerala,36238,31050,468,,86597251,72818149,1339207,,,,
06/10/20,Kerala,145362,125343,3522,,86742613,72943492,1342729,,,,
06/10/20,Kerala,16283,12898,224,,86758896,72956390,1342953,,,,
06/10/20,Kerala,136115,123286,1509,,86895011,73079676,1344462,,,,
06/10/20,Kerala,88873,78089,757,,86983884,73157765,1345219,,,,
06/10/20,Kerala,80476,65496,1268,,87064360,73223261,1346487,,,,
06/10/20,Kerala,657705,533074,9461,,87722065,73756335,1355948,,,,
06/10/20,Kerala,242800,154092,885,,87964865,73910427,1356833,,,,
06/10/20,Kerala,4720,3464,61,,87969585,73913891,1356894,,,,
06/10/20,Kerala,1465911,1179726,38717,,89435496,75093617,1395611,,,,
06/10/20,Kerala,7037,4606,60,,89442533,75098223,1395671,,,,
06/10/20,Kerala,12242,9482,78,,89454775,75107705,1395749,,,,
06/10/20,Kerala,138668,118039,2488,,89593443,75225744,1398237,,,,
06/10/20,Kerala,2128,1887,0,,89595571,75227631,1398237,,,,
06/10/20,Kerala,6662,5414,12,,89602233,75233045,1398249,,,,
06/10/20,Kerala,238003,210217,993,,89840236,75443262,1399242,,,,
06/10/20,Kerala,120016,104355,3679,,89960252,75547617,1402921,,,,
06/10/20,Kerala,29682,24614,546,,89989934,75572231,1403467,,,,
06/10/20,Kerala,148316,125448,1574,,90138250,75697679,1405041,,,,
06/10/20,Kerala,3135,2506,49,,90141385,75700185,1405090,,,,
06/10/20,Kerala,202594,174769,1181,,90343979,75874954,1406271,,,,
06/10/20,Kerala,630408,575212,9917,,90974387,76450166,1416188,,,,
06/10/20,Kerala,27305,22108,298,,91001692,76472274,1416486,,,,
06/10/20,Kerala,6754184,5741258,104591,,97755876,82213532,1521077,,,,
06/10/20,Kerala,420937,370753,6153,,98176813,82584285,1527230,,,,
06/10/20,Kerala,52329,42968,677,,98229142,82627253,1527907,,,,
07/10/20,Kerala,277049,243743,5318,,98506191,82870996,1533225,,,,
07/10/20,Kerala,3935,3696,54,,98510126,82874692,1533279,,,,
07/10/20,Kerala,734427,678828,6086,,99244553,83553520,1539365,,,,
07/10/20,Kerala,11267,8396,21,,99255820,83561916,1539386,,,,
07/10/20,Kerala,190209,157635,785,,99446029,83719551,1540171,,,,
07/10/20,Kerala,191427,179351,927,,99637456,83898902,1541098,,,,
07/10/20,Kerala,12820,11190,182,,99650276,83910092,1541280,,,,
07/10/20,Kerala,131739,103828,1134,,99782015,84013920,1542414,,,,
07/10/20,Kerala,298107,270305,5616,,100080122,84284225,1548030,,,,
07/10/20,Kerala,3120,2985,2,,100083242,84287210,1548032,,,,
07/10/20,Kerala,36670,31444,477,,100119912,84318654,1548509,,,,
07/10/20,Kerala,146673,126757,3531,,100266585,84445411,1552040,,,,
07/10/20,Kerala,16565,13316,226,,100283150,84458727,1552266,,,,
07/10/20,Kerala,137398,124841,1528,,100420548,84583568,1553794,,,,
07/10/20,Kerala,89702,79176,767,,100510250,84662744,1554561,,,,
07/10/20,Kerala,81097,67684,1282,,100591347,84730428,1555843,,,,
07/10/20,Kerala,668652,542906,9574,,101259999,85273334,1565417,,,,
07/10/20,Kerala,253406,160253,907,,101513405,85433587,1566324,,,,
07/10/20,Kerala,4802,3511,63,,101518207,85437098,1566387,,,,
07/10/20,Kerala,1480489,1196441,39072,,102998696,86633539,1605459,,,,
07/10/20,Kerala,7165,4694,60,,103005861,86638233,1605519,,,,
